iter	Passed	Remaining
191	2175	111153
192	2185	111032
193	2192	110834
194	2202	110736
195	2211	110616
196	2220	110499
197	2229	110368
198	2238	110246
199	2248	110200
200	2256	110002
201	2274	110317
202	2284	110265
203	2295	110221
204	2308	110284
205	2317	110179
206	2327	110093
207	2336	109992
208	2345	109885
209	2353	109737
210	2363	109636
211	2371	109512
212	2381	109421
213	2389	109256
214	2399	109187
215	2408	109082
216	2417	108970
217	2426	108900
218	2435	108789
219	2445	108719
220	2456	108678
221	2464	108527
222	2472	108393
223	2480	108266
224	2489	108174
225	2499	108111
226	2509	108030
227	2519	107972
228	2529	107915
229	2538	107845
230	2547	107736
231	2556	107642
232	2564	107520
233	2572	107355
234	2581	107284
235	2590	107157
236	2599	107084
237	2609	107048
238	2620	107017
239	2629	106924
240	2638	106856
241	2647	106761
242	2657	106700
243	2665	106557
244	2673	106435
245	2682	106348
246	2691	106275
247	2700	106186
248	2709	106095
249	2718	106019
250	2727	105940
251	2737	105886
252	2747	105839
253	2755	105725
254	2764	105644
255	2774	105590
256	2782	105485
257	2793	105478
258	2802	105397
259	2810	105276
260	2818	105185
261	2827	105089
262	2836	105000
263	2844	104918
264	2854	104879
265	2863	104775
266	2873	104750
267	2881	104645
268	2893	104656
269	2901	104543
270	2910	104480
271	2918	104378
272	2927	104293
273	2937	104257
274	2945	104177
275	2954	104109
276	2963	104018
277	2972	103945
278	2981	103884
279	2991	103845
280	2998	103708
281	3006	103619
282	3016	103563
283	3026	103551
284	3035	103483
285	3045	103435
286	3054	103383
287	3063	103318
288	3073	103287
289	3082	103198
290	3092	103191
291	3101	103120
292	3111	103079
293	3119	102981
294	3126	102865
295	3134	102747
296	3142	102673
297	3151	102599
298	3158	102484
299	3167	102407
300	3174	102305
301	3192	102528
302	3201	102473
303	3213	102500
304	3223	102450
305	3231	102387
306	3240	102305
307	3249	102256
308	3258	102205
309	3268	102171
310	3277	102119
311	3288	102121
312	3298	102085
313	3308	102051
314	3316	101955
315	3326	101930
316	3334	101866
317	3344	101842
318	3354	101797
319	3363	101739
320	3372	101678
321	3379	101574
322	3388	101519
323	3396	101433
324	3406	101395
325	3415	101347
326	3424	101307
327	3433	101256
328	3443	101219
329	3452	101156
330	3458	101036
331	3467	100965
332	3475	100894
333	3484	100850
334	3492	100770
335	3502	100726
336	3511	100694
337	3522	100695
338	3531	100640
339	3539	100572
340	3549	100533
341	3556	100428
342	3564	100370
343	3572	100288
344	3582	100258
345	3590	100185
346	3601	100196
347	3611	100175
348	3622	100174
349	3631	100124
350	3641	100095
351	3649	100041
352	3659	100006
353	3668	99966
354	3678	99937
355	3686	99877
356	3696	99838
357	3705	99812
358	3713	99726
359	3721	99655
360	3729	99575
361	3737	99520
362	3745	99448
363	3752	99347
364	3763	99335
365	3771	99279
366	3783	99297
367	3791	99228
368	3799	99167
369	3807	99109
370	3817	99070
371	3824	98994
372	3835	98983
373	3843	98933
374	3852	98875
375	3861	98839
376	3869	98777
377	3880	98782
378	3888	98718
379	3898	98689
380	3908	98668
381	3918	98648
382	3927	98610
383	3935	98542
384	3944	98504
385	3953	98478
386	3962	98427
387	3971	98396
388	3981	98366
389	3990	98335
390	3999	98282
391	4009	98263
392	4017	98209
393	4025	98148
394	4035	98128
395	4045	98103
396	4054	98068
397	4062	98010
398	4070	97936
399	4079	97918
400	4087	97852
401	4120	98374
402	4131	98395
403	4141	98365
404	4151	98353
405	4161	98327
406	4169	98286
407	4178	98241
408	4187	98193
409	4196	98168
410	4206	98143
411	4215	98097
412	4229	98188
413	4238	98130
414	4246	98088
415	4259	98129
416	4270	98148
417	4279	98112
418	4290	98105
419	4299	98058
420	4309	98043
421	4317	97982
422	4324	97911
423	4332	97842
424	4340	97786
425	4351	97788
426	4360	97758
427	4370	97745
428	4379	97707
429	4388	97667
430	4395	97596
431	4405	97567
432	4415	97548
433	4422	97476
434	4432	97459
435	4442	97458
436	4454	97468
437	4463	97437
438	4473	97429
439	4481	97377
440	4490	97340
441	4499	97291
442	4509	97285
443	4519	97271
444	4529	97248
445	4536	97170
446	4546	97166
447	4555	97135
448	4566	97142
449	4577	97135
450	4587	97134
451	4596	97097
452	4608	97114
453	4616	97074
454	4626	97052
455	4635	97019
456	4644	96991
457	4652	96932
458	4662	96919
459	4670	96864
460	4679	96823
461	4689	96804
462	4697	96750
463	4706	96733
464	4716	96707
465	4726	96702
466	4736	96681
467	4746	96678
468	4755	96643
469	4767	96660
470	4776	96628
471	4785	96600
472	4793	96556
473	4802	96518
474	4811	96473
475	4820	96452
476	4830	96429
477	4839	96397
478	4850	96404
479	4860	96397
480	4870	96382
481	4880	96377
482	4889	96336
483	4899	96328
484	4910	96328
485	4922	96358
486	4932	96359
487	4945	96403
488	4956	96394
489	4968	96435
490	4979	96435
491	4987	96393
492	5001	96441
493	5014	96489
494	5024	96480
495	5036	96506
496	5048	96526
497	5059	96536
498	5069	96515
499	5081	96550
500	5091	96530
501	5103	96556
502	5124	96758
503	5143	96917
504	5155	96935
505	5169	96986
506	5180	97004
507	5190	96985
508	5201	96996
509	5212	96987
510	5224	97013
511	5234	97010
512	5244	96981
513	5258	97039
514	5268	97026
515	5281	97065
516	5290	97035
517	5301	97042
518	5312	97051
519	5324	97065
520	5334	97051
521	5344	97049
522	5359	97118
523	5370	97120
524	5382	97137
525	5397	97219
526	5415	97350
527	5431	97432
528	5444	97482
529	5460	97566
530	5475	97638
531	5488	97679
532	5498	97670
533	5533	98090
534	5574	98623
535	5592	98747
536	5611	98878
537	5627	98973
538	5645	99102
539	5659	99153
540	5673	99197
541	5685	99209
542	5696	99205
543	5708	99232
544	5733	99460
545	5759	99729
546	5772	99753
547	5785	99791
548	5796	99779
549	5811	99849
550	5820	99821
551	5833	99840
552	5843	99832
553	5856	99852
554	5872	99940
555	5886	99978
556	5897	99987
557	5914	100073
558	5929	100136
559	5941	100148
560	5955	100205
561	5968	100232
562	5981	100259
563	5990	100230
564	6003	100245
565	6012	100221
566	6023	100214
567	6034	100202
568	6045	100205
569	6054	100171
570	6065	100159
571	6075	100138
572	6084	100108
573	6095	100098
574	6104	100055
575	6112	100009
576	6124	100016
577	6147	100213
578	6160	100239
579	6172	100244
580	6183	100241
581	6193	100230
582	6203	100199
583	6217	100250
584	6227	100223
585	6238	100213
586	6247	100183
587	6257	100160
588	6266	100122
589	6285	100243
590	6339	100933
591	6374	101304
592	6752	107125
593	6771	107219
594	6795	107420
595	6816	107548
596	6827	107538
597	6843	107592
598	6861	107693
599	6881	107817
600	6898	107891
601	6927	108141
602	6942	108190
603	6954	108190
604	6963	108139
605	6976	108147
606	6986	108114
607	6997	108087
608	7005	108028
609	7016	108000
610	7026	107972
611	7037	107960
612	7045	107893
613	7056	107875
614	7066	107835
615	7077	107811
616	7087	107790
617	7096	107735
618	7108	107734
619	7119	107705
620	7127	107645
621	7159	107941
622	7177	108029
623	7189	108020
624	7198	107981
625	7212	108000
626	7227	108042
627	7242	108080
628	7257	108131
629	7273	108174
630	7297	108349
631	7318	108483
632	7330	108474
633	7346	108529
634	7362	108578
635	7378	108641
636	7396	108724
637	7413	108779
638	7426	108799
639	7441	108832
640	7456	108864
641	7470	108885
642	7481	108870
643	7492	108855
644	7508	108902
645	7521	108916
646	7533	108908
647	7544	108876
648	7556	108875
649	7570	108891
650	7584	108922
651	7600	108969
652	7614	109000
653	7631	109063
654	7644	109070
655	7658	109092
656	7672	109110
657	7687	109139
658	7701	109161
659	7715	109187
660	7732	109245
661	7742	109215
662	7755	109217
663	7768	109228
664	7781	109233
665	7791	109203
666	7805	109219
667	7817	109211
668	7830	109219
669	7840	109178
670	7856	109225
671	7869	109233
672	7879	109203
673	7890	109173
674	7900	109146
675	7913	109147
676	7924	109124
677	7933	109079
678	7944	109062
679	7954	109023
680	7966	109012
681	7978	109007
682	7995	109072
683	8065	109846
684	8091	110037
685	8227	111701
686	8419	114139
687	8439	114230
688	8454	114249
689	8470	114294
690	8482	114280
691	8493	114242
692	8504	114219
693	8516	114205
694	8533	114257
695	8547	114257
696	8560	114261
697	8570	114219
698	8581	114188
699	8591	114148
700	8600	114085
701	8615	114110
702	8649	114385
703	8669	114481
704	8688	114550
705	8709	114655
706	8724	114678
707	8740	114716
708	9120	119512
709	9462	123815
710	9536	124592
711	9661	126032
712	9764	127190
713	9859	128230
714	9873	128214
715	9883	128150
716	9893	128093
717	9903	128025
718	9914	127973
719	9926	127935
720	9936	127884
721	9946	127811
722	9957	127767
723	9968	127714
724	9978	127653
725	9988	127593
726	10000	127553
727	10007	127459
728	10018	127412
729	10030	127374
730	10040	127316
731	10052	127282
732	10064	127240
733	10074	127183
734	10085	127136
735	10096	127084
736	10105	127015
737	10116	126966
738	10125	126895
739	10136	126838
740	10145	126767
741	10156	126726
742	10166	126663
743	10175	126590
744	10185	126530
745	10194	126459
746	10216	126546
747	10234	126589
748	10254	126656
749	10274	126724
750	10335	127293
751	10400	127909
752	10558	129662
753	10595	129931
754	10608	129902
755	10620	129864
756	10632	129826
757	10641	129750
758	10651	129688
759	10662	129631
760	10671	129559
761	10681	129495
762	10691	129429
763	10700	129357
764	10711	129308
765	10726	129310
766	10742	129321
767	10765	129411
768	10775	129349
769	10793	129384
770	10814	129450
771	10829	129451
772	10846	129470
773	10937	130368
774	11031	131310
775	11102	131973
776	11147	132325
777	11201	132773
778	11237	133013
779	11269	133207
780	11326	133703
781	11350	133800
782	11365	133785
783	11375	133724
784	11386	133668
785	11397	133608
786	11408	133551
787	11419	133494
788	11429	133426
789	11440	133373
790	11450	133307
791	11461	133252
792	11499	133512
793	11595	134442
794	11709	135575
795	11749	135856
796	11831	136617
797	11894	137164
798	11913	137186
799	11926	137159
800	11937	137098
801	11946	137016
802	11964	137032
803	11978	137005
804	11987	136920
805	11994	136820
806	12002	136731
807	12011	136650
808	12021	136572
809	12030	136489
810	12040	136419
811	12050	136358
812	12061	136292
813	12070	136213
814	12080	136143
815	12089	136060
816	12098	135984
817	12106	135896
818	12117	135838
819	12126	135759
820	12136	135685
821	12143	135583
822	12154	135529
823	12163	135447
824	12174	135398
825	12185	135335
826	12196	135277
827	12205	135207
828	12221	135198
829	12253	135381
830	12318	135915
831	12424	136908
832	12459	137115
833	12480	137167
834	12525	137479
835	12588	137987
836	12640	138384
837	12693	138777
838	12706	138740
839	12718	138697
840	12728	138622
841	12738	138545
842	12746	138456
843	12757	138397
844	12767	138322
845	12777	138256
846	12786	138173
847	12796	138107
848	12804	138016
849	12812	137923
850	12819	137824
851	12828	137739
852	12835	137642
853	12844	137555
854	12853	137480
855	12862	137395
856	12871	137320
857	12878	137223
858	12888	137150
859	12897	137074
860	12908	137011
861	12917	136936
862	12926	136862
863	12935	136779
864	12943	136694
865	12951	136606
866	12961	136538
867	12971	136467
868	12981	136398
869	12991	136332
870	13000	136254
871	13010	136188
872	13020	136128
873	13031	136069
874	13042	136013
875	13054	135968
876	13070	135964
877	13102	136124
878	13217	137157
879	13262	137446
880	13349	138181
881	13397	138505
882	13439	138763
883	13509	139313
884	13568	139748
885	13599	139898
886	13613	139869
887	13627	139830
888	13638	139774
889	13647	139699
890	13656	139614
891	13665	139536
892	13675	139466
893	13686	139402
894	13694	139316
895	13705	139254
896	13713	139168
897	13723	139100
898	13732	139024
899	13742	138956
900	13752	138884
901	13772	138915
902	13791	138936
903	13809	138946
904	13822	138909
905	13832	138846
906	13843	138782
907	13852	138710
908	13862	138638
909	13871	138560
910	13882	138505
911	13892	138434
912	13902	138373
913	13912	138301
914	13921	138226
915	13931	138161
916	13942	138101
917	13951	138026
918	13960	137950
919	13972	137901
920	13981	137831
921	13991	137758
922	14001	137690
923	14009	137610
924	14018	137530
925	14025	137441
926	14035	137367
927	14046	137312
928	14058	137268
929	14067	137195
930	14076	137124
931	14086	137056
932	14097	136996
933	14107	136933
934	14117	136874
935	14126	136800
936	14136	136729
937	14144	136653
938	14154	136584
939	14163	136513
940	14173	136451
941	14182	136371
942	14199	136375
943	14212	136338
944	14222	136279
945	14231	136205
946	14241	136142
947	14251	136077
948	14261	136018
949	14271	135959
950	14281	135895
951	14292	135838
952	14301	135764
953	14309	135683
954	14317	135604
955	14327	135545
956	14337	135479
957	14345	135401
958	14356	135346
959	14364	135270
960	14375	135215
961	14385	135154
962	14396	135095
963	14404	135023
964	14414	134959
965	14422	134882
966	14432	134820
967	14440	134737
968	14451	134690
969	14460	134618
970	14472	134577
971	14485	134545
972	14496	134495
973	14508	134444
974	14520	134404
975	14531	134357
976	14540	134283
977	14551	134234
978	14561	134177
979	14571	134118
980	14581	134058
981	14591	134002
982	14600	133929
983	14610	133873
984	14619	133804
985	14629	133744
986	14638	133673
987	14648	133619
988	14659	133563
989	14669	133509
990	14678	133437
991	14688	133378
992	14695	133291
993	14702	133212
994	14715	133180
995	14723	133098
996	14733	133048
997	14740	132960
998	14749	132894
999	14759	132833
1000	14769	132776
1001	14787	132793
1002	14795	132718
1003	14808	132682
1004	14817	132623
1005	14831	132600
1006	14844	132567
1007	14852	132493
1008	14861	132427
1009	14871	132372
1010	14879	132298
1011	14890	132245
1012	14899	132184
1013	14912	132154
1014	14923	132106
1015	14931	132036
1016	14939	131957
1017	14948	131895
1018	14959	131842
1019	14969	131787
1020	14979	131732
1021	14988	131673
1022	14999	131623
1023	15007	131545
1024	15017	131494
1025	15027	131437
1026	15036	131373
1027	15047	131331
1028	15056	131267
1029	15074	131278
1030	15084	131223
1031	15095	131181
1032	15104	131115
1033	15115	131066
1034	15126	131027
1035	15136	130972
1036	15147	130925
1037	15156	130862
1038	15167	130812
1039	15177	130763
1040	15186	130700
1041	15196	130642
1042	15206	130585
1043	15212	130504
1044	15221	130437
1045	15230	130374
1046	15240	130319
1047	15248	130254
1048	15258	130202
1049	15280	130247
1050	15291	130203
1051	15302	130159
1052	15310	130089
1053	15319	130028
1054	15329	129975
1055	15340	129926
1056	15348	129855
1057	15358	129806
1058	15367	129744
1059	15378	129700
1060	15388	129653
1061	15399	129601
1062	15407	129539
1063	15418	129492
1064	15426	129424
1065	15436	129373
1066	15445	129311
1067	15455	129262
1068	15466	129211
1069	15477	129170
1070	15486	129111
1071	15496	129057
1072	15504	128990
1073	15515	128952
1074	15524	128893
1075	15534	128835
1076	15542	128771
1077	15553	128727
1078	15562	128668
1079	15572	128617
1080	15581	128561
1081	15592	128516
1082	15602	128465
1083	15612	128410
1084	15621	128358
1085	15632	128309
1086	15641	128254
1087	15650	128194
1088	15660	128146
1089	15670	128095
1090	15680	128046
1091	15689	127990
1092	15698	127926
1093	15707	127869
1094	15717	127822
1095	15727	127770
1096	15737	127725
1097	15746	127663
1098	15755	127609
1099	15763	127543
1100	15774	127502
1101	15795	127536
1102	15805	127491
1103	15816	127445
1104	15824	127380
1105	15834	127335
1106	15843	127280
1107	15853	127227
1108	15863	127179
1109	15872	127125
1110	15882	127074
1111	15892	127026
1112	15901	126971
1113	15911	126919
1114	15920	126862
1115	15927	126795
1116	15935	126731
1117	15946	126688
1118	15955	126633
1119	15966	126592
1120	15975	126532
1121	15984	126478
1122	15993	126426
1123	16002	126368
1124	16011	126311
1125	16019	126247
1126	16028	126194
1127	16038	126146
1128	16048	126098
1129	16058	126048
1130	16066	125985
1131	16073	125915
1132	16087	125906
1133	16104	125910
1134	16117	125889
1135	16134	125898
1136	16145	125853
1137	16156	125816
1138	16173	125823
1139	16188	125815
1140	16199	125773
1141	16213	125761
1142	16225	125730
1143	16234	125678
1144	16245	125639
1145	16255	125591
1146	16266	125550
1147	16274	125491
1148	16284	125443
1149	16293	125389
1150	16303	125340
1151	16312	125288
1152	16322	125239
1153	16331	125187
1154	16340	125133
1155	16350	125086
1156	16358	125026
1157	16367	124971
1158	16376	124925
1159	16385	124871
1160	16393	124808
1161	16402	124752
1162	16410	124692
1163	16419	124640
1164	16429	124598
1165	16438	124543
1166	16448	124500
1167	16458	124455
1168	16468	124406
1169	16480	124380
1170	16488	124322
1171	16499	124277
1172	16508	124226
1173	16517	124179
1174	16527	124130
1175	16535	124071
1176	16545	124031
1177	16553	123970
1178	16564	123933
1179	16573	123882
1180	16582	123830
1181	16590	123765
1182	16600	123721
1183	16607	123655
1184	16614	123590
1185	16624	123551
1186	16635	123512
1187	16645	123470
1188	16653	123410
1189	16662	123362
1190	16670	123302
1191	16681	123262
1192	16690	123213
1193	16699	123163
1194	16709	123115
1195	16718	123069
1196	16727	123015
1197	16736	122966
1198	16745	122915
1199	16752	122851
1200	16761	122798
1201	16781	122832
1202	16792	122795
1203	16802	122753
1204	16814	122723
1205	16824	122684
1206	16832	122622
1207	16843	122590
1208	16852	122540
1209	16863	122502
1210	16873	122462
1211	16881	122407
1212	16890	122357
1213	16900	122312
1214	16909	122260
1215	16919	122218
1216	16928	122171
1217	16938	122129
1218	16948	122086
1219	16958	122046
1220	16968	122007
1221	16978	121963
1222	16987	121914
1223	16996	121864
1224	17005	121813
1225	17016	121777
1226	17025	121732
1227	17035	121691
1228	17045	121645
1229	17055	121604
1230	17063	121549
1231	17073	121510
1232	17081	121456
1233	17090	121408
1234	17099	121360
1235	17110	121326
1236	17120	121280
1237	17128	121229
1238	17139	121192
1239	17150	121156
1240	17158	121104
1241	17166	121050
1242	17175	121004
1243	17184	120955
1244	17193	120905
1245	17202	120859
1246	17211	120814
1247	17220	120762
1248	17231	120730
1249	17240	120684
1250	17250	120644
1251	17259	120593
1252	17270	120559
1253	17278	120509
1254	17288	120469
1255	17298	120427
1256	17307	120382
1257	17317	120340
1258	17327	120299
1259	17338	120271
1260	17360	120309
1261	17396	120450
1262	17577	121596
1263	17690	122266
1264	17720	122365
1265	17735	122355
1266	17748	122333
1267	17757	122289
1268	17768	122249
1269	17777	122202
1270	17787	122161
1271	17796	122115
1272	17807	122076
1273	17815	122026
1274	17826	121987
1275	17833	121930
1276	17842	121877
1277	17852	121835
1278	17861	121793
1279	17870	121744
1280	17880	121699
1281	17891	121664
1282	17900	121621
1283	17911	121583
1284	17919	121533
1285	17930	121499
1286	17941	121466
1287	17950	121419
1288	17958	121365
1289	17969	121327
1290	17978	121281
1291	17988	121242
1292	17998	121199
1293	18006	121150
1294	18014	121094
1295	18025	121060
1296	18035	121018
1297	18044	120973
1298	18054	120933
1299	18064	120891
1300	18072	120836
1301	18090	120853
1302	18105	120847
1303	18116	120812
1304	18128	120786
1305	18136	120736
1306	18147	120701
1307	18157	120661
1308	18168	120626
1309	18179	120594
1310	18188	120548
1311	18196	120495
1312	18206	120459
1313	18218	120428
1314	18228	120393
1315	18240	120365
1316	18249	120316
1317	18265	120322
1318	18301	120450
1319	18548	121971
1320	18572	122022
1321	18590	122032
1322	18610	122059
1323	18629	122074
1324	18643	122062
1325	18654	122029
1326	18665	121992
1327	18675	121950
1328	18686	121919
1329	18696	121878
1330	18704	121824
1331	18714	121782
1332	18724	121745
1333	18735	121712
1334	18743	121659
1335	18751	121604
1336	18759	121549
1337	18768	121501
1338	18776	121454
1339	18787	121416
1340	18799	121388
1341	18807	121340
1342	18818	121304
1343	18827	121257
1344	18837	121215
1345	18845	121167
1346	18857	121136
1347	18865	121084
1348	18873	121036
1349	18881	120984
1350	18892	120951
1351	18902	120908
1352	18911	120865
1353	18920	120815
1354	18930	120780
1355	18939	120730
1356	18948	120689
1357	18960	120661
1358	18971	120629
1359	18980	120582
1360	18992	120552
1361	19000	120501
1362	19010	120467
1363	19020	120428
1364	19031	120393
1365	19042	120359
1366	19053	120330
1367	19063	120291
1368	19073	120249
1369	19084	120218
1370	19094	120178
1371	19102	120127
1372	19113	120098
1373	19122	120052
1374	19134	120025
1375	19145	119993
1376	19155	119954
1377	19165	119917
1378	19172	119862
1379	19182	119823
1380	19193	119789
1381	19204	119755
1382	19214	119719
1383	19225	119685
1384	19233	119633
1385	19241	119586
1386	19251	119547
1387	19259	119498
1388	19270	119467
1389	19279	119421
1390	19288	119380
1391	19296	119329
1392	19306	119287
1393	19315	119243
1394	19326	119215
1395	19336	119178
1396	19346	119141
1397	19362	119141
1398	19372	119100
1399	19400	119171
1400	19466	119477
1401	19520	119711
1402	19536	119713
1403	19550	119699
1404	19560	119659
1405	19571	119626
1406	19581	119589
1407	19592	119556
1408	19602	119521
1409	19612	119482
1410	19621	119442
1411	19629	119391
1412	19638	119348
1413	19648	119309
1414	19656	119260
1415	19666	119223
1416	19675	119180
1417	19687	119149
1418	19695	119100
1419	19705	119063
1420	19714	119022
1421	19724	118988
1422	19734	118949
1423	19744	118910
1424	19753	118869
1425	19762	118826
1426	19772	118785
1427	19781	118747
1428	19791	118706
1429	19801	118670
1430	19810	118626
1431	19820	118588
1432	19828	118544
1433	19839	118511
1434	19848	118468
1435	19859	118439
1436	19868	118393
1437	19878	118359
1438	19887	118315
1439	19895	118267
1440	19904	118225
1441	19912	118176
1442	19922	118138
1443	19931	118096
1444	19941	118061
1445	19949	118011
1446	19958	117970
1447	19967	117928
1448	19978	117899
1449	19987	117856
1450	19998	117824
1451	20007	117787
1452	20017	117751
1453	20027	117711
1454	20037	117678
1455	20046	117635
1456	20056	117601
1457	20065	117556
1458	20076	117528
1459	20085	117484
1460	20095	117449
1461	20103	117405
1462	20115	117378
1463	20124	117339
1464	20133	117298
1465	20142	117253
1466	20152	117217
1467	20160	117171
1468	20169	117133
1469	20180	117103
1470	20188	117052
1471	20201	117035
1472	20211	117004
1473	20221	116964
1474	20231	116933
1475	20241	116895
1476	20251	116860
1477	20260	116820
1478	20271	116789
1479	20280	116749
1480	20290	116716
1481	20299	116674
1482	20309	116641
1483	20319	116602
1484	20327	116560
1485	20337	116525
1486	20345	116479
1487	20354	116438
1488	20364	116402
1489	20375	116370
1490	20383	116325
1491	20392	116285
1492	20403	116256
1493	20414	116230
1494	20423	116189
1495	20432	116149
1496	20441	116105
1497	20452	116076
1498	20460	116033
1499	20469	115996
1500	20479	115960
1501	20500	115985
1502	20511	115959
1503	20521	115923
1504	20533	115904
1505	20555	115936
1506	20568	115918
1507	20592	115963
1508	20612	115983
1509	20631	115999
1510	20647	115997
1511	20657	115968
1512	20676	115980
1513	20687	115953
1514	20697	115919
1515	20707	115884
1516	20715	115840
1517	20725	115803
1518	20733	115760
1519	20744	115732
1520	20752	115689
1521	20762	115651
1522	20773	115622
1523	20780	115572
1524	20789	115536
1525	20798	115497
1526	20808	115462
1527	20820	115436
1528	20830	115404
1529	20839	115364
1530	20849	115334
1531	20858	115294
1532	20869	115264
1533	20878	115224
1534	20889	115199
1535	20899	115166
1536	20909	115133
1537	20917	115089
1538	20926	115050
1539	20936	115015
1540	20946	114982
1541	20954	114939
1542	20966	114912
1543	20975	114875
1544	20985	114842
1545	20994	114802
1546	21003	114763
1547	21011	114720
1548	21019	114679
1549	21027	114633
1550	21036	114595
1551	21046	114563
1552	21056	114528
1553	21065	114492
1554	21075	114456
1555	21086	114428
1556	21095	114393
1557	21108	114374
1558	21125	114383
1559	21146	114410
1560	21180	114502
1561	21201	114530
1562	21214	114514
1563	21234	114536
1564	21247	114516
1565	21265	114530
1566	21278	114513
1567	21293	114508
1568	21313	114528
1569	21328	114521
1570	21346	114533
1571	21362	114530
1572	21372	114497
1573	21384	114477
1574	21400	114475
1575	21416	114476
1576	21428	114452
1577	21440	114430
1578	21458	114439
1579	21471	114422
1580	21482	114398
1581	21490	114354
1582	21500	114318
1583	21519	114335
1584	21532	114321
1585	21556	114360
1586	21591	114458
1587	21622	114536
1588	21665	114680
1589	21702	114789
1590	21734	114874
1591	21796	115117
1592	21869	115417
1593	21920	115596
1594	21972	115787
1595	22035	116033
1596	22143	116515
1597	22169	116563
1598	22185	116561
1599	22198	116539
1600	22207	116503
1601	22217	116470
1602	22236	116479
1603	22280	116625
1604	22311	116699
1605	22329	116707
1606	22348	116721
1607	22363	116712
1608	22392	116778
1609	22440	116942
1610	22501	117173
1611	22602	117611
1612	22668	117868
1613	22830	118623
1614	22864	118710
1615	22932	118976
1616	22993	119204
1617	23032	119316
1618	23073	119445
1619	23097	119479
1620	23140	119614
1621	23153	119594
1622	23167	119575
1623	23174	119527
1624	23184	119487
1625	23193	119449
1626	23204	119416
1627	23213	119375
1628	23225	119350
1629	23235	119312
1630	23245	119279
1631	23255	119241
1632	23265	119205
1633	23274	119164
1634	23286	119137
1635	23295	119099
1636	23312	119096
1637	23495	119944
1638	23528	120026
1639	23550	120049
1640	23565	120037
1641	23586	120058
1642	23597	120028
1643	23606	119987
1644	23618	119959
1645	23628	119921
1646	23638	119885
1647	23646	119840
1648	23655	119799
1649	23667	119774
1650	23675	119727
1651	23685	119689
1652	23694	119649
1653	23703	119606
1654	23713	119571
1655	23722	119531
1656	23730	119483
1657	23738	119437
1658	23747	119396
1659	23755	119350
1660	23765	119311
1661	23773	119268
1662	23783	119230
1663	23793	119197
1664	23803	119160
1665	23812	119117
1666	23826	119102
1667	23837	119073
1668	23846	119033
1669	23857	119002
1670	23874	119000
1671	23909	119089
1672	23947	119193
1673	24006	119400
